Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
405,0,0,Fred Jones,IND,26,77,40,37,29.5,10.6,3.6,8.4,42.5,1.1,3,38,2.3,2.7,85,0.4,2.7,3.1,2.5,1.5,0.8,0.4,2.2,1,0,-1.9
405,0,0,Jim Jackson,PHX,34,64,40,24,31.2,10.5,3.9,9.1,42.6,1.9,4.6,41.4,0.8,0.9,93.1,0.5,3.7,4.2,2.9,1.8,0.5,0.1,2.4,1,0,0.2
405,0,0,Bonzi Wells,MEM,28,69,37,32,21.6,10.4,3.9,8.9,44.1,0.5,1.5,34.6,2,2.7,75,0.7,2.6,3.3,1.2,1.3,1.2,0.4,2.4,1,0,-0.8
405,0,0,Marcus Camby,DEN,31,66,43,23,30.6,10.3,4.2,9.1,46.5,0,0.1,0,1.9,2.6,72.3,2,8,10,2.3,1.6,0.9,3,2.7,23,0,1.6
405,0,0,Corliss Williamson,SAC,31,72,37,35,21.3,10.3,3.8,8.1,46.7,0,0,0,2.7,3.4,79.9,1.4,2.2,3.6,1.1,1.2,0.5,0.2,3,2,0,-0.2
405,0,0,JR Smith,NOH,19,76,18,58,24.5,10.3,3.9,9.8,39.4,1.1,3.7,28.8,1.5,2.1,68.9,0.5,1.5,2,1.9,1.4,0.7,0.1,1.8,0,0,-5.2
405,0,0,Bob Sura,HOU,32,61,42,19,31.6,10.3,3.5,8.3,42.7,0.9,2.5,35.5,2.3,3.1,75,1.3,4.2,5.5,5.2,2.4,1.1,0.1,2.8,8,0,2.5
405,0,0,Jarvis Hayes,WAS,23,54,30,24,28.9,10.2,3.8,9.8,38.9,0.8,2.3,34.1,1.8,2.2,83.9,0.8,3.4,4.2,1.7,1.1,0.9,0.2,2,0,0,-1.4
405,0,0,Mo Williams,MIL,22,80,30,50,28.3,10.2,4,9.2,43.8,0.4,1.2,32.3,1.7,2,85,0.6,2.4,3.1,6.1,2.5,0.9,0.1,2.8,8,0,-1.4
405,0,0,Jason Williams,MEM,29,71,39,32,27.5,10.1,3.7,9.1,41.3,1.5,4.6,32.4,1.1,1.4,79.2,0.3,1.5,1.7,5.6,1.8,1.1,0.1,1.3,1,0,1.1
405,0,0,Brevin Knight,CHA,29,66,17,49,29.5,10.1,3.8,8.9,42.2,0,0.3,15,2.5,3,85.2,0.3,2.3,2.6,9,2.2,2,0.1,2.9,16,0,-2.4
405,0,0,Josh Childress,ATL,22,80,12,68,29.6,10.1,3.8,8,47,0.2,0.7,23.2,2.4,2.9,82.3,2.4,3.6,6,1.9,1.3,0.9,0.4,2.3,12,0,-5.5
405,0,0,Stromile Swift,MEM,25,60,32,28,21.3,10.1,3.7,8.1,44.9,0,0.1,0,2.8,3.7,75.8,1.5,3,4.6,0.7,1.5,0.7,1.5,3,2,0,0.4
405,0,0,Luke Ridnour,SEA,24,82,52,30,31.4,10,3.6,9,40.5,0.8,2.2,37.6,1.9,2.2,88.3,0.7,1.8,2.5,5.9,1.8,1.1,0.3,2.3,4,0,0
405,0,0,Glenn Robinson,SAS,32,9,5,4,17.6,10,3.8,8.6,44.2,0.2,0.7,33.3,2.2,2.6,87,0.4,2.2,2.7,0.9,0.8,0.4,0.3,2.1,0,0,-2.3
405,0,0,Nenad Krstic,NJN,21,75,40,35,26.2,10,3.7,7.6,49.3,0,0,0,2.5,3.4,72.5,2.1,3.2,5.3,1,1.5,0.4,0.8,3.7,9,0,1
405,0,0,Shane Battier,MEM,26,80,44,36,31.5,9.9,3.4,7.7,44.2,0.9,2.2,39.5,2.3,2.9,78.9,2,3.2,5.2,1.6,0.9,1.1,1,2.5,4,0,4.1
405,0,0,Marko Jaric,LAC,26,50,25,25,33.2,9.9,3.8,9.1,41.4,1.1,3,37.1,1.2,1.6,72,0.4,2.8,3.2,6.1,2,1.7,0.3,2.1,6,0,0.9
405,0,0,Chris Mihm,LAL,25,75,33,42,25,9.8,3.7,7.4,50.7,0,0,0,2.3,3.4,67.8,2.6,4.1,6.7,0.7,1.5,0.2,1.4,3.2,18,0,-2.1
405,0,0,Voshon Lenard,DEN,32,3,1,2,18.8,9.7,3.3,8.7,38.5,1.3,4,33.3,1.7,2.7,62.5,0,2,2,2,0.7,0.3,0,0.7,0,0,1
405,0,0,Josh Smith,ATL,19,74,11,63,27.7,9.7,3.7,8.1,45.5,0.1,0.3,17.4,2.2,3.2,68.8,2,4.2,6.2,1.7,1.8,0.8,1.9,2.1,10,0,-5.1
405,0,0,Keith Bogans,CHA,25,74,15,59,24.3,9.6,3.5,9.3,38.1,0.8,2.3,32.9,1.8,2.5,72.7,1,2,3.1,1.8,1.6,0.9,0.1,2.3,0,0,-3.6
405,0,0,Lorenzen Wright,MEM,29,80,45,35,28.6,9.6,4,8.5,46.9,0,0,0,1.6,2.5,66.2,2.2,5.5,7.7,1.1,1.3,0.7,0.9,3.1,17,0,0.7
405,0,0,Antonio McDyess,DET,30,77,51,26,23.4,9.6,4,7.8,51.3,0,0,0,1.6,2.5,65.6,2.3,4,6.3,0.9,1.2,0.6,0.7,2.6,6,0,0.1
405,0,0,Nene,DEN,22,55,31,24,23.9,9.6,3.5,7,50.3,0,0,0,2.5,3.9,66,1.9,4,5.9,1.5,1.7,0.9,0.9,3,7,0,0.9
405,0,0,Juwan Howard,HOU,32,61,38,23,26.6,9.6,4,8.9,45.1,0,0,0,1.6,1.9,84.3,2.1,3.6,5.7,1.5,1.3,0.5,0.1,2.3,7,0,0.6
405,0,0,Jason Hart,CHA,27,74,18,56,25.5,9.5,3.5,7.7,44.9,0.5,1.3,36.8,2.1,2.7,78.5,0.2,2.5,2.7,5,1.4,1.3,0.2,2.3,7,0,-4.3
