Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1617,0,0,Allen Crabbe,POR,25,79,39,40,28.5,10.7,3.8,8.2,46.8,1.7,3.8,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,0,0,-1.5
1617,0,0,Alex Poythress,PHI,23,6,0,6,26.1,10.7,4.2,9,46.3,1,3.2,31.6,1.3,1.7,80,1.8,3,4.8,0.8,0.5,0.5,0.3,2.3,0,0,-6
1617,0,0,Nikola Mirotic,CHI,26,70,37,33,24,10.6,3.7,8.9,41.3,1.8,5.4,34.2,1.4,1.8,77.3,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,8,0,2.8
1617,0,0,Marcus Smart,BOS,23,79,51,28,30.4,10.6,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,1,2.9,3.9,4.6,2,1.6,0.4,2.4,2,0,1.6
1617,0,0,Buddy Hield,SAC,23,82,31,51,23,10.6,4,9.4,42.6,1.8,4.6,39.1,0.8,0.9,84.2,0.4,2.9,3.3,1.5,1.2,0.5,0.1,1.4,0,0,-2.6
1617,0,0,Marco Belinelli,CHA,31,74,34,40,24,10.5,3.6,8.3,42.9,1.4,3.8,36,2,2.3,89.3,0.2,2.2,2.4,2,0.9,0.6,0.1,1.2,1,0,0.6
1617,0,0,Wayne Ellington,MIA,29,62,35,27,24.2,10.5,3.7,9,41.6,2.4,6.4,37.8,0.6,0.7,86,0.3,1.8,2.1,1.1,0.5,0.6,0.1,1.1,0,0,1.4
1617,0,0,Mason Plumlee,DEN,27,81,38,43,26.5,10.4,4.1,7.7,53.6,0,0.1,0,2.1,3.7,58,2.1,5.4,7.5,3.5,1.7,0.9,1.1,2.8,19,0,0
1617,0,0,Robin Lopez,CHI,29,81,40,41,28,10.4,4.7,9.6,49.3,0,0,0,0.9,1.3,72.1,3,3.4,6.4,1,1.1,0.2,1.4,1.9,8,0,0.9
1617,0,0,Cody Zeller,CHA,24,62,33,29,27.8,10.3,4.1,7.1,57.1,0,0,0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1,1,0.9,3,6,0,3.4
1617,0,0,Tyreke Evans,SAC,27,40,17,23,19.7,10.3,3.8,9.3,40.5,1.1,3,35.6,1.7,2.3,75,0.3,3.1,3.4,3.1,1.5,0.9,0.2,1.5,0,0,-3.8
1617,0,0,Jon Leuer,DET,27,75,34,41,25.9,10.2,4.1,8.6,48,0.7,2.2,29.3,1.3,1.5,86.7,1.4,4,5.4,1.5,0.9,0.4,0.3,1.9,3,0,-1
1617,0,0,Malcolm Brogdon,MIL,24,75,38,37,26.4,10.2,3.9,8.5,45.7,1,2.6,40.4,1.5,1.7,86.5,0.6,2.2,2.8,4.2,1.5,1.1,0.2,1.9,2,1,1.2
